sCode,noPeriode,sDescription
ZY-89,1609,STAT. INT. 7 h 30 - 8 h 30 VEN 01 avril au 01 déc
ZY-90,303,STAT. INT. 7 h - 8 h MER et VEN 01 avril au 01 déc
ZY-91,1610,STAT. INT. 9 h 30 - 10 h30 LUN 01 avril au 01 déc
ZY-92,312,STAT. INT. 7 h - 10 h LUN 01 avril au 01 déc
ZY-93,1611,STAT. INT. 8 h - 9 h DIM 01 avril au 01 déc
ZY-94,1612,STAT. INT. 8 h - 9 h SAM 01 avril au 01 déc
ZY-95,160,ARRÊt INT. 7 h - 8 h MER 01 avril au 30 nov
ZY-96,318,STAT. INT. 16 h 30 - 17 h 30 LUN au VEN 01 avril au 01 déc
ZY-97,331,STAT. INT. 9 h 30 - 10 h30 LUN À VEN 01 avril au 01 déc
ZY-98,330,STAT. INT. 12 h - 13 h LUN À VEN 01 avril au 01 déc
ZY-99,1524,STAT. INT. 9 h - 11 h MAR et JEU 01 avril au 01 déc
ZY-99,1526,STAT. INT. 9 h - 11 h MAR et JEU 01 avril au 01 déc
ZZ-01,76,STAT. INT.7 h - 8 h LUN À VEN 01 avril au 01 déc.
ZZ-24,101,STAT. INT. 7 h - 9 h - 1er mai au 31 oct.
ZZ-51,76,STAT. INT.7 h - 8 h LUN À VEN 01 avril au 01 déc
ZZ-52,75,STAT. INT.6 h 30 - 7 h 30 LUN À VEN 01 avril au 01 dec
ZZ-53,1473,STAT. INT. 8 h - 9 h LUN À VEN 01 avril au 01 déc
ZZ-54,1551,STAT. INT. 8 h - 9 h LUN et JEU 01 avril au 01 déc
ZZ-55,1584,STAT. INT. 8 h - 9 h MAR et VEN 01 avril au 01 déc
ZZ-55,1613,STAT. INT. 8 h - 9 h MAR et VEN 01 avril au 01 déc
ZZ-56,1474,STAT. INT. 8 h - 9 h30 LUN À VEN 01 avril au 01 déc
ZZ-57,139,STAT. INT. 7 h - 8 h LUN et MER 01 avril au 01 déc
ZZ-60,88,STAT. INT. 7 h - 8 h MAR et VEN 01 avril au 01 déc
ZZ-65,160,STAT. INT. 7 h - 8 h MER 01 avril au 01 déc
ZZ-66,132,STAT. INT. 7 h - 8 h LUN 01 avril au 01 déc
ZZ-67,1545,STAT. INT. 8 h - 9 h LUN 01 avril au 01 déc
ZZ-68,1555,STAT. INT. 8 h - 9 h MER 01 avril au 01 déc
ZZ-69,1597,STAT. INT.7 h 30 - 8 h 30 LUN ET JEU 01 avril au 01 déc
ZZ-71,87,STAT. INT. 7 h - 8 h LUN ET JEU 01 avril au 01 déc
ZZ-72,1613,STAT. INT. 8 h - 9 h VEN 01 avril au 01 déc
ZZ-73,105,STAT. INT. 7 h ou 7 h 30 ou 8 h - 9 h MAR 01 avril au 01 déc
ZZ-74,1550,STAT. INT. 7 h 30 - 9 h JEU 01 avril au 01 déc
ZZ-75,133,STAT. INT. 7 h - 8 h JEU 01 avril au 01 déc
ZZ-76,164,STAT. INT. 7 h - 8 h MAR 01 avril au 01 déc
ZZ-89,173,STAT. INT. 7 h - 8 h MAR ET JEU 01 avril au 01 déc
ZZ-91,105,STAT. INT. 7 h - 9 h MAR 01 avril au 01 déc
ZZ-92,80,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
ZZ-92,179,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
ZZ-93,1545,STAT. INT. 8 h - 9 h LUN ET MER 01 avril au 01 déc
ZZ-93,1555,STAT. INT. 8 h - 9 h LUN ET MER 01 avril au 01 déc
ZZ-94,1614,STAT. INT.8 h 30 - 9 h 30 LUN ET JEU 01 avril au 01 déc
ZZ-96,1545,STAT. INT. 8 h - 9 h LUN et MER 01 avril au 01 déc
ZZ-96,1555,STAT. INT. 8 h - 9 h LUN et MER 01 avril au 01 déc
ZZ-97,169,STAT. INT. 7 h ou 8 h - 9 h MAR et JEU 01 avril au 01 déc
ZZ-98,168,STAT. INT. 7 h - 9 h LUN et MER 01 avril au 01 déc
ZZ-99,169,STAT. INT. 7 h - 9 h MAR et JEU 01 avril au 01 déc
